              precision    recall  f1-score   support

       title       0.86      0.15      0.26        40
         map       0.46      0.15      0.22        89
        logo       0.97      0.78      0.86        45
        game       1.00      0.44      0.62        36
       photo       1.00      0.11      0.20        45
       graph       0.82      0.56      0.67        16
     drawing       1.00      0.07      0.13       374
       comic       0.95      0.96      0.96        80
      unclas       0.00      0.00      0.00         0

    accuracy                           0.26       725
   macro avg       0.78      0.36      0.43       725
weighted avg       0.92      0.26      0.33       725
