              precision    recall  f1-score   support

       title     0.9375    0.3750    0.5357        40
         map     1.0000    0.0225    0.0440        89
        logo     1.0000    0.8667    0.9286        45
        game     1.0000    0.6944    0.8197        36
       photo     1.0000    0.3556    0.5246        45
       graph     0.9000    0.5625    0.6923        16
     drawing     1.0000    0.0080    0.0159       374
       comic     0.8313    0.8625    0.8466        80
      unclas     0.0000    0.0000    0.0000         0

    accuracy                         0.2455       725
   macro avg     0.8521    0.4164    0.4897       725
weighted avg     0.9757    0.2455    0.2828       725
