              precision    recall  f1-score   support

       title     0.4400    0.5500    0.4889        40
         map     0.6667    0.2022    0.3103        89
        logo     1.0000    0.3556    0.5246        45
        game     0.7059    1.0000    0.8276        36
       photo     0.1419    0.9333    0.2463        45
       graph     0.8421    1.0000    0.9143        16
     drawing     0.9853    0.1791    0.3032       374
       comic     0.9231    0.1500    0.2581        80
      unclas     0.0000    0.0000    0.0000         0

    accuracy                         0.3159       725
   macro avg     0.6339    0.4856    0.4304       725
weighted avg     0.8408    0.3159    0.3591       725
