              precision    recall  f1-score   support

       title     0.6364    0.7000    0.6667        40
         map     0.7419    0.2584    0.3833        89
        logo     1.0000    0.7556    0.8608        45
        game     0.9211    0.9722    0.9459        36
       photo     0.4634    0.4222    0.4419        45
       graph     0.8824    0.9375    0.9091        16
     drawing     0.9876    0.6364    0.7740       374
       comic     0.9737    0.9250    0.9487        80
      unclas     0.0000    0.0000    0.0000         0

    accuracy                         0.6428       725
   macro avg     0.7340    0.6230    0.6589       725
weighted avg     0.8991    0.6428    0.7357       725
